ITEM_NUMBER,DESCRIPTION
1941965,KETTLE CHIP VTY VEND 36CT
320867,LAYS BBQ 64CT/1.5OZ
874508,LAYS CLASSIC VEND 50/1 OZ
1676112,LAYS LIMON 64CT
320865,LAYS POTATO CHIPS 64CT
320896,LAYS SR CRM + ONION 64CT
874701,LAY'S BBQ 50/1 OZ
1635099,LULU VARIETY PACK
1936257,M VICK JALA 64CT/1.375OZ
1758990,MISS VICKIES VTY 30CT
320848,MUNCHIES FLAMIN HOT 64CT
1957026,OLD DUTCH ORG KETTLE
1925400,ORG LESSER EVIL AVO SNACK
1837930,ORG POPCORN VTY 28CT .65Z
1331206,PIRATE'S BOOTY 40/.5OZ
1854525,POPCHIPS VTY 30CT/.8OZ
1632656,POPCORNERS VARIETY 30CT
1135979,PRINGLES ORIG CAN 14/5.26
720590,PRINGLES ORIGINAL
720795,PRINGLES SC + ONION
1055688,PRINGLES SNACK 60/.67OZ
1136112,PRINGLES SOUR CREAM/ONION
1489206,PRINGLES VTY 36-1.36Z
1371754,QUAKER RICE CRISPS 36CT
1959886,QUEST TORT CHIPS 14/1.1OZ
874506,RUFFLES 50/1 OZ  VEND PK
320886,RUFFLES CHDR/SR CRM 64CT
510231,RUFFLES CHEDDAR/SR CREAM
1692572,SABRITAS CHILE LIMON MIX
1992706,SF PRETZEL CRISP 24/1.5OZ
1751327,SHRIMP CHIPS 36/1OZ
1742162,SIETE GRN FREE VRTY 14/1Z
